#Parameters = {BeamSourceOriginX=0; BeamSourceOriginY=0; BeamSourceOriginZ=115.79674639889; D=50.003107798429; PML_offset=0; R=61.548; alpha=90; angle_20dB=11.769; beam_f=-234.79674639889; beam_w=1.94; f=120; n=1.5129; phi=0; source_dist=115.79674639889; th=5.3067463988873; th2=8; theta=0}
#"X / mm"	"e-field (f=150) (fsGBMacro_3331027.311nm(1,0),(0.0))_Y (X) [Re]"	"e-field (f=150) (fsGBMacro_3331027.311nm(1,0),(0.0))_Y (X) [Im]"
#--------------------------------------------------------------------------------------------------------------------------------------------
-22.021916653692	-287.43753051758	-132.29019165039
-21.987667949720	-285.72692871094	-124.01424407959
-21.953419245749	-282.61294555664	-116.62084960938
-21.919170541777	-279.49899291992	-109.22745513916
-21.884921837806	-275.61236572266	-102.56547546387
-21.850673133834	-271.27597045898	-96.329292297363
-21.816424429863	-266.81515502930	-90.287536621094
-21.782175725891	-261.67184448242	-85.311843872070
-21.747927021919	-256.52880859375	-80.336433410645
-21.713678317948	-251.14729309082	-76.238029479980
-21.679429613976	-245.65168762207	-72.559242248535
-21.645180910005	-240.17822265625	-69.129768371582
-21.610932206033	-234.79389953613	-66.706558227539
-21.576683502062	-229.40986633301	-64.283477783203
-21.542434798090	-224.43728637695	-62.723609924316
-21.508186094119	-219.60147094727	-61.450618743896
-21.473937390147	-215.05076599121	-60.477718353271
-21.439688686176	-211.15737915039	-60.196712493896
-21.405439982204	-207.26377868652	-59.915687561035
-21.371191278233	-204.45521545410	-60.303859710693
-21.336942574261	-201.83132934570	-60.805950164795
-21.302693870290	-199.82095336914	-61.525268554688
-21.268445166318	-198.70632934570	-62.561759948730
-21.234196462347	-197.59165954590	-63.598308563232
-21.199947758375	-198.05513000488	-64.884506225586
-21.165699054404	-198.58691406250	-66.181510925293
-21.131450350432	-199.97177124023	-67.466560363770
-21.097201646460	-202.17472839355	-68.740142822266
-21.062952942489	-204.47673034668	-69.994995117188
-21.028704238517	-208.26124572754	-70.967918395996
-20.994455534546	-212.04577636719	-71.940849304199
-20.960206830574	-216.68011474609	-72.572097778320
-20.925958126603	-221.84757995605	-72.988998413086
-20.891709422631	-227.19589233398	-73.277145385742
-20.857460718660	-233.45013427734	-72.920562744141
-20.823212014688	-239.70404052734	-72.564002990723
-20.788963310717	-246.46937561035	-71.531227111816
-20.754714606745	-253.43510437012	-70.233489990234
-20.720465902774	-260.47677612305	-68.652244567871
-20.686217198802	-267.72372436523	-66.306045532227
-20.651968494831	-274.97027587891	-63.959976196289
-20.617719790859	-282.07128906250	-60.717155456543
-20.583471086888	-289.14086914062	-57.280750274658
-20.549222382916	-295.97268676758	-53.446510314941
-20.514973678945	-302.40731811523	-48.947555541992
-20.480724974973	-308.84228515625	-44.448345184326
-20.446476271001	-314.29446411133	-39.052742004395
-20.412227567030	-319.66860961914	-33.585929870605
-20.377978863058	-324.35980224609	-27.730907440186
-20.343730159087	-328.30636596680	-21.452602386475
-20.309481455115	-332.20098876953	-15.155590057373
-20.275232751144	-334.43591308594	-8.2747097015381
-20.240984047172	-336.67086791992	-1.3938302993774
-20.206735343201	-337.78390502930	5.6962051391602
-20.172486639229	-338.09255981445	12.936197280884
-20.138237935258	-338.29663085938	20.180322647095
-20.103989231286	-336.57714843750	27.492635726929
-20.069740527315	-334.85766601562	34.804946899414
-20.035491823343	-332.11425781250	41.996707916260
-20.001243119372	-328.42825317383	49.077480316162
-19.966994415400	-324.74221801758	56.158252716064
-19.932745711429	-319.29745483398	62.719848632812
-19.898497007457	-313.83480834961	69.275703430176
-19.864248303485	-307.69741821289	75.469184875488
-19.829999599514	-300.76440429688	81.235397338867
-19.795750895542	-293.83139038086	87.001602172852
-19.761502191571	-285.90661621094	91.831085205078
-19.727253487599	-277.90533447266	96.587593078613
-19.693004783628	-269.66653442383	100.87933349609
-19.658756079656	-261.06713867188	104.46553802490
-19.624507375685	-252.46774291992	108.05175018311
-19.590258671713	-243.79110717773	110.54510498047
-19.556009967742	-235.10206604004	112.86981964111
-19.521761263770	-226.55477905273	114.76565551758
-19.487512559799	-218.28749084473	115.81182098389
-19.453263855827	-210.02020263672	116.85797882080
-19.419015151856	-202.47897338867	116.92394256592
-19.384766447884	-195.11380004883	116.75164794922
-19.350517743913	-188.11082458496	116.28214263916
-19.316269039941	-182.06799316406	115.02381134033
-19.282020335970	-176.02517700195	113.76548004150
-19.247771631998	-171.20922851562	111.84588623047
-19.213522928026	-166.81819152832	109.69727325439
-19.179274224055	-162.82366943359	107.41251373291
-19.145025520083	-160.30496215820	104.62194824219
-19.110776816112	-157.78625488281	101.83138275146
-19.076528112140	-156.60906982422	98.796897888184
-19.042279408169	-156.06030273438	95.648155212402
-19.008030704197	-155.80273437500	92.491088867188
-18.973782000226	-157.19372558594	89.288116455078
-18.939533296254	-158.58471679688	86.085144042969
-18.905284592283	-161.08160400391	83.036087036133
-18.871035888311	-164.25849914551	80.081672668457
-18.836787184340	-167.56988525391	77.174285888672
-18.802538480368	-172.26647949219	74.753845214844
-18.768289776397	-176.96307373047	72.333404541016
-18.734041072425	-182.30685424805	70.349914550781
-18.699792368454	-188.16435241699	68.713272094727
-18.665543664482	-194.04132080078	67.102760314941
-18.631294960511	-200.63160705566	66.449867248535
-18.597046256539	-207.22152709961	65.797012329102
-18.562797552567	-213.94049072266	65.692497253418
-18.528548848596	-220.79072570801	66.145812988281
-18.494300144624	-227.63323974609	66.645156860352
-18.460051440653	-234.28956604004	68.255996704102
-18.425802736681	-240.94552612305	69.866752624512
-18.391554032710	-247.23544311523	72.154624938965
-18.357305328738	-253.26446533203	74.925079345703
-18.323056624767	-259.16329956055	77.836181640625
-18.288807920795	-264.17459106445	81.706062316895
-18.254559216824	-269.18615722656	85.576164245605
-18.220310512852	-273.29479980469	90.104820251465
-18.186061808881	-276.96292114258	94.954986572266
