#Parameters = {BeamSourceOriginX=0; BeamSourceOriginY=0; BeamSourceOriginZ=115.79674639889; D=50.003107798429; PML_offset=0; R=61.548; alpha=90; angle_20dB=11.769; beam_f=-234.79674639889; beam_w=1.94; f=120; n=1.5129; phi=0; source_dist=115.79674639889; th=5.3067463988873; th2=8; theta=0}
#"Y / mm"	"e-field (f=150) (fsGBMacro_3331027.311nm(1,0),(0.0))_Y (Y) [Re]"	"e-field (f=150) (fsGBMacro_3331027.311nm(1,0),(0.0))_Y (Y) [Im]"
#--------------------------------------------------------------------------------------------------------------------------------------------
-16.953108465906	-151.34262084961	232.93524169922
-16.918859761934	-147.89781188965	234.58451843262
-16.884611057963	-144.59240722656	236.11642456055
-16.850362353991	-141.51721191406	237.45452880859
-16.816113650020	-138.44201660156	238.79261779785
-16.781864946048	-135.74591064453	239.84762573242
-16.747616242077	-133.08236694336	240.87837219238
-16.713367538105	-130.62103271484	241.77169799805
-16.679118834134	-128.39201354980	242.50714111328
-16.644870130162	-126.16298675537	243.24259948730
-16.610621426190	-124.36537933350	243.70709228516
-16.576372722219	-122.57174682617	244.16911315918
-16.542124018247	-120.99127960205	244.50654602051
-16.507875314276	-119.61011505127	244.72749328613
-16.473626610304	-118.24464416504	244.93991088867
-16.439377906333	-117.23233795166	244.96083068848
-16.405129202361	-116.21997833252	244.98175048828
-16.370880498390	-115.38245391846	244.91683959961
-16.336631794418	-114.67767333984	244.78674316406
-16.302383090447	-113.99463653564	244.64756774902
-16.268134386475	-113.52099609375	244.42103576660
-16.233885682504	-113.04732513428	244.19450378418
-16.199636978532	-112.66305541992	243.94480895996
-16.165388274561	-112.33359527588	243.68087768555
-16.131139570589	-112.01168823242	243.42031860352
-16.096890866618	-111.73412322998	243.17941284180
-16.062642162646	-111.45655822754	242.93850708008
-16.028393458675	-111.15141296387	242.75273132324
-15.994144754703	-110.83277893066	242.59397888184
-15.959896050731	-110.48868560791	242.46228027344
-15.925647346760	-110.04086303711	242.44081115723
-15.891398642788	-109.59302520752	242.41935729980
-15.857149938817	-108.99502563477	242.53179931641
-15.822901234845	-108.33940887451	242.69560241699
-15.788652530874	-107.61613464355	242.91493225098
-15.754403826902	-106.68826293945	243.30215454102
-15.720155122931	-105.76036834717	243.68939208984
-15.685906418959	-104.58506774902	244.26983642578
-15.651657714988	-103.33764648438	244.90661621094
-15.617409011016	-101.98608398438	245.62179565430
-15.583160307045	-100.39168548584	246.51979064941
-15.548911603073	-98.797279357910	247.41780090332
-15.514662899102	-96.911254882812	248.52857971191
-15.480414195130	-94.963760375977	249.68421936035
-15.446165491159	-92.897377014160	250.92361450195
-15.411916787187	-90.611839294434	252.31739807129
-15.377668083215	-88.326309204102	253.71116638184
-15.343419379244	-85.774795532227	255.28346252441
-15.309170675272	-83.186157226562	256.88067626953
-15.274921971301	-80.496505737305	258.54028320312
-15.240673267329	-77.657157897949	260.29232788086
-15.206424563358	-74.817886352539	262.04431152344
-15.172175859386	-71.807830810547	263.88412475586
-15.137927155415	-68.784767150879	265.73065185547
-15.103678451443	-65.713096618652	267.58883666992
-15.069429747472	-62.583023071289	269.46112060547
-15.035181043500	-59.453029632568	271.33334350586
-15.000932339529	-56.298374176025	273.15841674805
-14.966683635557	-53.143135070801	274.98257446289
-14.932434931586	-50.016887664795	276.74475097656
-14.898186227614	-46.918853759766	278.44641113281
-14.863937523643	-43.825008392334	280.14199829102
-14.829688819671	-40.861515045166	281.65032958984
-14.795440115700	-37.897933959961	283.15872192383
-14.761191411728	-35.046981811523	284.52416992188
-14.726942707756	-32.285346984863	285.77615356445
-14.692694003785	-29.545381546021	287.00201416016
-14.658445299813	-27.044971466064	287.93957519531
-14.624196595842	-24.544563293457	288.87713623047
-14.589947891870	-22.202262878418	289.62850952148
-14.555699187899	-20.006097793579	290.20791625977
-14.521450483927	-17.809869766235	290.78735351562
-14.487201779956	-15.921627044678	291.00543212891
-14.452953075984	-14.047358512878	291.20715332031
-14.418704372013	-12.297755241394	291.26080322266
-14.384455668041	-10.740618705750	291.08599853516
-14.350206964070	-9.1834821701050	290.91119384766
-14.315958260098	-7.8670587539673	290.44250488281
-14.281709556127	-6.6000094413757	289.91360473633
-14.247460852155	-5.3976659774780	289.30154418945
-14.213212148184	-4.3733248710632	288.46063232422
-14.178963444212	-3.3490118980408	287.61978149414
-14.144714740241	-2.4500837326050	286.60140991211
-14.110466036269	-1.6040983200073	285.50820922852
-14.076217332297	-0.77226471900940	284.38995361328
-14.041968628326	-0.027397513389587	283.11770629883
-14.007719924354	0.71744894981384	281.84548950195
-13.973471220383	1.4527643918991	280.51763916016
-13.939222516411	2.1811015605927	279.14883422852
-13.904973812440	2.9103405475616	277.77993774414
-13.870725108468	3.7082386016846	276.40075683594
-13.836476404497	4.5061144828796	275.02160644531
-13.802227700525	5.3719682693481	273.67572021484
-13.767978996554	6.3209557533264	272.37048339844
-13.733730292582	7.2699165344238	271.06527709961
-13.699481588611	8.4161376953125	269.89392089844
-13.665232884639	9.5876178741455	268.73962402344
-13.630984180668	10.849279403687	267.65496826172
-13.596735476696	12.299817085266	266.71600341797
-13.562486772725	13.750313758850	265.77703857422
-13.528238068753	15.441118240356	265.03811645508
-13.493989364782	17.207881927490	264.36233520508
-13.459740660810	19.039741516113	263.74392700195
-13.425491956838	21.137771606445	263.35983276367
-13.391243252867	23.235858917236	262.97570800781
-13.356994548895	25.538757324219	262.78063964844
-13.322745844924	27.960283279419	262.69506835938
-13.288497140952	30.402355194092	262.62936401367
-13.254248436981	33.116546630859	262.82785034180
-13.219999733009	35.830818176270	263.02633666992
-13.185751029038	38.667228698730	263.35110473633
-13.151502325066	41.622646331787	263.79885864258
-13.117253621095	44.578147888184	264.24661254883
-13.083004917123	47.696239471436	264.88021850586
-13.048756213152	50.824108123779	265.52499389648
-13.014507509180	53.986576080322	266.21966552734
-12.980258805209	57.205268859863	266.99578857422
-12.946010101237	60.424053192139	267.77191162109
-12.911761397266	63.644474029541	268.59439086914
-12.877512693294	66.865280151367	269.42727661133
-12.843263989323	70.063873291016	270.25491333008
-12.809015285351	73.196624755859	271.06689453125
-12.774766581379	76.329376220703	271.87887573242
-12.740517877408	79.342720031738	272.62457275391
-12.706269173436	82.302291870117	273.34045410156
-12.672020469465	85.230461120605	274.03558349609
-12.637771765493	87.942153930664	274.58767700195
-12.603523061522	90.653778076172	275.13977050781
-12.569274357550	93.192329406738	275.56838989258
-12.535025653579	95.596595764160	275.90124511719
-12.500776949607	98.000869750977	276.23413085938
-12.466528245636	100.06072235107	276.31088256836
-12.432279541664	102.12051391602	276.38760375977
-12.398030837693	104.00797271729	276.33282470703
-12.363782133721	105.70759582520	276.13461303711
-12.329533429750	107.40717315674	275.93643188477
-12.295284725778	108.76531219482	275.47277832031
-12.261036021807	110.10800933838	274.99719238281
-12.226787317835	111.30605316162	274.40780639648
-12.192538613864	112.31645202637	273.67077636719
-12.158289909892	113.32683563232	272.93377685547
-12.124041205920	114.07311248779	271.98699951172
-12.089792501949	114.79447937012	271.02038574219
-12.055543797977	115.42575073242	269.98150634766
-12.021295094006	115.91741180420	268.83053588867
-11.987046390034	116.40909576416	267.67950439453
-11.952797686063	116.76321411133	266.41580200195
