#Parameters = {BeamSourceOriginX=0; BeamSourceOriginY=0; BeamSourceOriginZ=115.79674639889; D=50.003107798429; PML_offset=0; R=61.548; alpha=90; angle_20dB=11.769; beam_f=-234.79674639889; beam_w=1.94; f=120; n=1.5129; phi=0; source_dist=115.79674639889; th=5.3067463988873; th2=8; theta=0}
#"X / mm"	"e-field (f=90) (fsGBMacro_3331027.311nm(1,0),(0.0))_Y (X) [Re]"	"e-field (f=90) (fsGBMacro_3331027.311nm(1,0),(0.0))_Y (X) [Im]"
#------------------------------------------------------------------------------------------------------------------------------------------
-23.528859628439	-64.891746520996	-73.779479980469
-23.494610924467	-66.769744873047	-74.335304260254
-23.460362220496	-68.643104553223	-74.848381042480
-23.426113516524	-70.505210876465	-75.287849426270
-23.391864812553	-72.342933654785	-75.566375732422
-23.357616108581	-74.180664062500	-75.844902038574
-23.323367404610	-75.978248596191	-75.918037414551
-23.289118700638	-77.767387390137	-75.947425842285
-23.254869996667	-79.536071777344	-75.889640808105
-23.220621292695	-81.264358520508	-75.658843994141
-23.186372588724	-82.992645263672	-75.428039550781
-23.152123884752	-84.658119201660	-74.970626831055
-23.117875180781	-86.312118530273	-74.471855163574
-23.083626476809	-87.935150146484	-73.876373291016
-23.049377772837	-89.501983642578	-73.106277465820
-23.015129068866	-91.068809509277	-72.336174011230
-22.980880364894	-92.548721313477	-71.331092834473
-22.946631660923	-94.015281677246	-70.289932250977
-22.912382956951	-95.439552307129	-69.148178100586
-22.878134252980	-96.793884277344	-67.840751647949
-22.843885549008	-98.148216247559	-66.533325195312
-22.809636845037	-99.392150878906	-64.997886657715
-22.775388141065	-100.62218475342	-63.433742523193
-22.741139437094	-101.79703521729	-61.769893646240
-22.706890733122	-102.89263916016	-59.962661743164
-22.672642029151	-103.98818969727	-58.155532836914
-22.638393325179	-104.94985961914	-56.137271881104
-22.604144621208	-105.90184783936	-54.103725433350
-22.569895917236	-106.78501129150	-51.976730346680
-22.535647213265	-107.58567810059	-49.737525939941
-22.501398509293	-108.38630676270	-47.498443603516
-22.467149805322	-109.03347778320	-45.081729888916
-22.432901101350	-109.67701721191	-42.660812377930
-22.398652397378	-110.24042510986	-40.162387847900
-22.364403693407	-110.72338867188	-37.585998535156
-22.330154989435	-111.20290374756	-35.007072448730
-22.295906285464	-111.52429962158	-32.304561614990
-22.261657581492	-111.84568786621	-29.602054595947
-22.227408877521	-112.08020019531	-26.847654342651
-22.193160173549	-112.24168395996	-24.049638748169
-22.158911469578	-112.39296722412	-21.247291564941
-22.124662765606	-112.39880371094	-18.385597229004
-22.090414061635	-112.40464782715	-15.523901939392
-22.056165357663	-112.32341003418	-12.643802642822
-22.021916653692	-112.18108367920	-9.7507934570312
-21.987667949720	-112.02353668213	-6.8577117919922
-21.953419245749	-111.74266052246	-3.9655208587646
-21.919170541777	-111.46179199219	-1.0733302831650
-21.884921837806	-111.10157775879	1.7981510162354
-21.850673133834	-110.69517517090	4.6575756072998
-21.816424429863	-110.27177429199	7.5073361396790
-21.782175725891	-109.75513458252	10.304245948792
-21.747927021919	-109.23853302002	13.100999832153
-21.713678317948	-108.65928649902	15.836002349854
-21.679429613976	-108.05007934570	18.541460037231
-21.645180910005	-107.42644500732	21.223825454712
-21.610932206033	-106.74451446533	23.813125610352
-21.576683502062	-106.06262207031	26.402282714844
-21.542434798090	-105.34198760986	28.887817382812
-21.508186094119	-104.60848236084	31.338911056519
-21.473937390147	-103.86581420898	33.742332458496
-21.439688686176	-103.10205078125	36.035831451416
-21.405439982204	-102.33823394775	38.329456329346
-21.371191278233	-101.56761932373	40.474170684814
-21.336942574261	-100.79583740234	42.593555450439
-21.302693870290	-100.02948760986	44.637321472168
-21.268445166318	-99.271049499512	46.570671081543
-21.234196462347	-98.512580871582	48.504131317139
-21.199947758375	-97.787445068359	50.250598907471
-21.165699054404	-97.063758850098	51.988979339600
-21.131450350432	-96.368026733398	53.625118255615
-21.097201646460	-95.699096679688	55.163211822510
-21.062952942489	-95.034683227539	56.688808441162
-21.028704238517	-94.438613891602	58.025726318359
-20.994455534546	-93.842552185059	59.362644195557
-20.960206830574	-93.300521850586	60.576862335205
-20.925958126603	-92.792396545410	61.714111328125
-20.891709422631	-92.301086425781	62.819168090820
-20.857460718660	-91.893951416016	63.763084411621
-20.823212014688	-91.486846923828	64.706954956055
-20.788963310717	-91.158706665039	65.517295837402
-20.754714606745	-90.861511230469	66.275329589844
-20.720465902774	-90.595626831055	66.986442565918
-20.686217198802	-90.414176940918	67.571037292480
-20.651968494831	-90.232734680176	68.155601501465
-20.617719790859	-90.147895812988	68.608581542969
-20.583471086888	-90.083915710449	69.033172607422
-20.549222382916	-90.062919616699	69.403846740723
-20.514973678945	-90.113746643066	69.684463500977
